user_input,columns
aws.ecs.task.arn = arn:aws:ecs:eu-west-1:438062682818:task/theydo/eaddb22303d841d686e69fbb9bf080fc,"aws.ecs.task.arn,aws.ecs.task.id,aws.ecs.cluster.arn,aws.ecs.task.revision,aws.ecs.task.version,aws.ecs.task.family,aws.ecs.task.pull_stopped_at,aws.ecs.task.launch_type,aws.ecs.task.known_status,aws.ecs.task.pull_started_at,aws.ecs.docker.name,aws.ecs.container.image.id,aws.ecs.service.name,amazonaws.com/ECS/ContainerInsights/DesiredTaskCount.avg,aws.ecs.cluster.name,aws.exporter.arn,aws.ecs.container.know_status,aws.ecs.launchtype,aws.ecs.container.created_at,amazonaws.com/ECS/ContainerInsights/DesiredTaskCount.count,amazonaws.com/ECS/ContainerInsights/DesiredTaskCount.sum,amazonaws.com/ECS/ContainerInsights/DesiredTaskCount.min,amazonaws.com/ECS/ContainerInsights/DesiredTaskCount.max,aws.ecs.container.started_at,amazonaws.com/ECS/ContainerInsights/TaskSetCount.avg,amazonaws.com/ECS/ContainerInsights/TaskSetCount.count,amazonaws.com/ECS/ContainerInsights/TaskSetCount.max,amazonaws.com/ECS/ContainerInsights/TaskSetCount.min,amazonaws.com/ECS/ContainerInsights/TaskSetCount.sum,amazonaws.com/AWS/EC2/MetadataNoToken.avg,amazonaws.com/AWS/EC2/EBSIOBalance%.sum,amazonaws.com/AWS/ES/2xx.max,amazonaws.com/AWS/ES/3xx.max,amazonaws.com/AWS/EC2/EBSIOBalance%.avg,amazonaws.com/AWS/EC2/StatusCheckFailed_AttachedEBS.avg,aws.region,amazonaws.com/AWS/EC2/EBSIOBalance%.min,amazonaws.com/AWS/ApplicationELB/ConsumedLCUs.min,amazonaws.com/AWS/EC2/EBSIOBalance%.max,amazonaws.com/AWS/ApplicationELB/HealthyStateRouting.avg,amazonaws.com/AWS/ES/3xx.avg,amazonaws.com/AWS/ES/2xx.avg,amazonaws.com/AWS/EC2/EBSByteBalance%.min,amazonaws.com/AWS/RDS/EBSIOBalance%.sum,amazonaws.com/AWS/EC2/MetadataNoToken.sum,amazonaws.com/AWS/ApplicationELB/HealthyStateDNS.avg,amazonaws.com/AWS/ES/4xx.max,amazonaws.com/AWS/EC2/EBSByteBalance%.max,amazonaws.com/AWS/EC2/EBSIOBalance%.count,amazonaws.com/AWS/ApplicationELB/HealthyStateRouting.sum,parent_name,duration_ms,http.route,http.status_code,service_name,exception.message,error,trace.parent_id,name,db.statement"
can you show me a count of http status codes over the last 3 hours,"status_code,http.status_code,http.conn.wasidle,http.response_content_length,status_message,http.request_content_length,gRPC Status Messages,duration_ms,http.method,status_category,http.write_error,url,http.read_error,total_records,http.conn.done.network,http.conn.reused,rpc.grpc.status_code,http.url,query,sentry-trace_id,http.remote,http.scheme,fetch_usage,Login latency,oplog_replay,rpc.method,email,failed_attempts,http.user_agent,ip,updates,rpc.system,error,job,http.dns.addrs,client_id,req_id,content-type,http.wrote_bytes,http.conn.start.network,tailable,username,XFRTotalRecords,documents,trace.trace_id,op_code,queue,client,Caller,http.local,exception.message,request_path,trace.parent_id,sql_query,name,parent_name,service.name"
slow requests,"request-rate-limited,duration_ms,db.query,http.url,http.method,net.transport,error,db.duration,http.target,http.route,service.version,queue_name,db_khepri_fast.request_usage,db.overflow,cache.total_elapsed_ms,name,cache.purpose.rate_limit.count,jaeger_link,http.host,service.name,db_khepri_fast.global,db.system,db.host,db.user,cache.total_count,http.scheme,cache.cmd.get_multi.elapsed_ms,type,db.connections_in_pool,root.span,http.flavor,span.kind,cache.purpose.unknown.elapsed_ms,cache.purpose.rate_limit.elapsed_ms,db.name,cache.cmd.incr_or_set.elapsed_ms,cache.purpose.unknown.hit_ratio,db_rate_limit_used,exception.stacktrace,cache.cmd.add.elapsed_ms,library.version,cache.purpose.clear_app_config_offerings_responses_-.elapsed_ms,db.statement,cache.cmd.get.elapsed_ms,status_code,cache.cmd.get_with_cas.elapsed_ms,net.host.port,exception.type,db.pool_size,cache.purpose.get_blocked_ip_addresses_list.count,parent_name,exception.message,trace.parent_id,http.status_code"
requests in the top 5% of latency,"duration_ms,service_dc_5,ip,service_dc_4,service_dc_1,success_rate_demo,service_dc_2,meta.stressed,topic,service_dc_3,exception.stacktrace,db.instance,log10_duration_ms,span.kind,http.url,success_rate_v3,host.name,error,jaeger-debug-id,key,status_code,name,trace.trace_id,http.method,trace.span_id,meta.refinery.original_sample_rate,exception.type,dc_log10_duration,db.type,grpc.status_code,ref_id,from_load_test,service.name,duration_per_rowcount,type,result_exists,pending_orders.count,meta.refinery.reason,order_uuid,meta.signal_type,span.num_events,http.status_code,db.rowcount,trace.parent_id,components.count,db.statement.md5,sampler.type,value,opencensus.exporterversion,chain_id,db.statement,http.route"
Display the status of the grafana database,"grafana.db.state,hw.status,description,otelcol_exporter_enqueue_failed_metric_points,otelcol_exporter_sent_metric_points,otelcol_exporter_enqueue_failed_log_records,state,otelcol_process_uptime,info,otelcol_exporter_send_failed_metric_points,service_version,scrape_series_added,scrape_duration,site,metricshub.agent.info,metricshub.host.configured,service.name,service.version,host.id,otelcol_process_memory_rss,up,agent.host.name,otelcol_processor_dropped_metric_points,scrape_samples_post_metric_relabeling,scrape_samples_scraped,host.name,name,os.type,otelcol_receiver_refused_metric_points,otelcol_exporter_enqueue_failed_spans,net.host.port,service_name,queueSize,serial_number,connector_id,hw.temperature,is_endpoint,otelcol_exporter_queue_capacity,otelcol_process_runtime_total_sys_memory_bytes,otel_version,sensor_location,build_number,service_instance_id,otelcol_exporter_queue_size,build_date,otelcol_receiver_accepted_metric_points,version,otelcol_processor_refused_metric_points,otelcol_process_cpu_seconds,exporter,http.route,trace.parent_id,duration_ms"
how can i visualize count per second?,"attempt count,count,total response count,log_data.count,total_count.api,attempt response count,response.count,total_count.mc,total_count.db,results_count,total_count.curl,candidate_count,total_count.page,total_count.thrift,total_count.rc,total_count.gearman,total_count.smarty,duration_ms,total_count.datasets,request.options.diversity.progressive.measurementWindow,options.diversity.progressive.measurementWindow,ab.ranking/search.experience.number_of_people_viewing_desktop,options.randomizePercentage,total_count.http_wait,log_data.sample_rate,meta.span_count,ab.bart.BOEReviewsCount.operational,ab.shop_analytics.statslytics_v2,delay ms,ab.ranking/search.experience.digital_signal_desktop,options.facet_count_taxonomy_ids,log10_duration_μs,php.memory.peak,log10_duration_ms,response.total,ab.ranking/recs.ymal_collection_downsampling_click,ab.visual_discovery_layer/explore.exploring_explore,ab.made_for_cats.tech_debt.filter_view_configuration_perf,ab.bart.BOEReviewsCount.experiment,candidatesCount,ab.prodperfect/monthly_data_capture,ab.visual_discovery_layer/explore.dense_explore_grid_view,total_duration.page,ab.app_metrics_segmented,duration,ab.ranking/ads.prolist.second_pass_calibration,span.num_events,latency_ms,api.perspective,recs_count,name,db.statement,service_name,kind,error,http.route,http.status_code,namespace,parent_name,message,exception.message,trace.parent_id,local_path"
latency distribution by status code,"status_code,http.status_code,duration_ms,http.status_text,http.response_content_length,http.response_content_length_uncompressed,telemetry.sdk.language,meta.signal_type,library.version,event_type,http.method,trace.trace_id,http.scheme,span.kind,trace.span_id,process.runtime.description,telemetry.instrumentation_library,http.url,process.runtime.version,service.name,meta.refinery.send_reason,telemetry.sdk.version,meta.refinery.original_sample_rate,span.num_events,app.session.id,http.user_agent,type,library.name,span.num_links,meta.refinery.reason,trace.parent_id,telemetry.sdk.name,http.host,name,meta.annotation_type,component,process.runtime.name,target_xpath,parent_name,target_element,app.synthetic_request,http.route"
what are my errors?,"errors,error,error_str,error_message,has_error,error_type,failures,error_reason,fatal_error,query_error_msg,error_details,error.object,misses,query_fatal_error,error.stack,error_code,query_error_code,error_log,db_error,error_numeric,query_error_type,trouble_connecting,hits,hnr_mysql_conn_errors,successes,redis_errors,exception.message,parse_error_message,response.error_subcategory,query_connect_all_fail_fatal_error,ids,last_error_percent,retries,try,curl_error_msg,continue_init_with_errors,args.name,identifiers,mime,query,args.query,reactions,first_run,ia_4,attempts,result:ok,in_low_memory,failedNodes,url,addrs,http.status_code,namespace,quip:call_path,message,db.statement,name,service_name,api:method,trace_parent_id,reason,duration_ms,kind"
show me the count on each individual route in the service,"service.version,service.namespace,service.name,redaction.redacted.count,http_path_1,http_path_5,http_path_4,http_path_6,http_path_7,http_path_9,meta.span_count,http_path_10,http_path_3,http_path_2,process.pid,trace.trace_id,http.method,http_path_8,http_path,span.num_links,status_code,container.id,duration_ms,span.num_events,os.type,http.response_content_length,trace.span_id,net.host.port,error,name,http.request_content_length,span.kind,http.scheme,is_monitoring,host.name,trace.parent_id,net.peer.port,process.runtime.description,process.runtime.name,os.description,telemetry.auto.version,http.status_code,telemetry.instrumentation_library,http_protocol,process.runtime.version,thread.id,type,host.arch,thread.name,process.executable.path,http.route"
group by timestamp / 60000,"client_timestamp,client_timestamp_get,client_timestamp_check,duration_ms,token_rate_60m,fingerprint_time_series,timezone,token_rate_60m_tarpit,rule_duration_ms,duration,prop-client_timestamp_get,task_list_ms,token_rate_1m_tarpit,200latency,task_gt_retrieve_ms,token_rate_1m,fingerprint_time_zone_anomaly,token_rate_60m_email,task_key_0,get_batch_ms,rule_sync_groups_ms,captcha_solve_duration_ms,touch_time_mean,task_key_1,clickfarm_like_time,task_total_seen_1,a11y_tfe_token_rate_60m,classifier.pl.elapsed_ms,task_gt_ban_check_ms,fingerprint_timing_fetch,task_pass_rate_0,task_total_seen_0,score,rule_sync_group_rules_ms,touch_have_ts,captcha_event_duration_ms,heur_ms,sample_rate,fingerprint_timing_start,task_pass_rate_1,sync_rule_ms,heur_insights_ms,checkcaptcha-elapsed-diff,token_rate_10m,prop-timezone,task_gt_inject_ms,fingerprint_time_zone_anomaly_hash,ra_sample_rate,fingerprint_label_performance_start_bucket,md_mm_avg_acceleration,window-hash,request.path,score_reason,exception.message,response.status_code,getcaptcha-host,base_url,shard_id,sk,app.exception_string,trace.parent_id,db.statement,service_name,s3_upload_uri,parent_name,name,art_ms"
user_profile_elements table reads,"args.no_user_profile,user_id,users_truncated,read_user,user_ids_count,user_external_id,args.include_profile_only_users,user_locale,id_type_counts_USER,mentioned_users_count,encoded_user_id,user_ml_scoring_eligible,profile_only,local_users_count,canonical_user_id,candidate_users_count,read_user_group,quip.user_id,team_user_locale,user_ml_scoring_enabled,args.users,unencoded_user_id,args.include_full_users,user_agent,num_authed_users,database_upgrade,raw_or_encoded_user_id,num_rows,data_hashes,table_names_only,content_size,table_schema_only,mysql_row_count,id_type_counts_SECTION,id_type_counts_USER_DOCUMENT_OVERLAY,target_section_id,author_id,ekm_row_count,is_user_autocomplete_query,new_user,user_is_null,exclude_tables,table_sizes_only,is_member_email_search,meta_event_target_id,write_user_group,input_type,numUserIds,section_style,meta_event_type,sql_query,http.status_code,service_name,namespace,reason,duration_ms,db.statement,message,trace_parent_id,name,error,quip:call_path,kind,api:method"
positive rate sum of number of resolved anaphors,"resolution.numberOfAnaphors,realization.numberOfAnaphors,resolution.durationMsPerAnaphorAndChar.sum,realization.durationMsPerAnaphorAndChar.sum,resolution.durationMsPerAnaphorAndChar.p50,resolution.durationMsPerAnaphorAndChar.count,resolution.durationMsPerAnaphorAndChar.p25,realization.durationMsPerAnaphorAndChar.p50,realization.durationMsPerAnaphorAndChar.p25,resolution.durationMsPerAnaphorAndChar.p99,resolution.durationMsPerAnaphorAndChar.p75,resolution.durationMsPerAnaphorAndChar.p10,resolution.durationMsPerAnaphorAndChar.p001,realization.durationMsPerAnaphorAndChar.p99,resolution.durationMsPerAnaphorAndChar.p999,realization.durationMsPerAnaphorAndChar.count,realization.durationMsPerAnaphorAndChar.p001,realization.durationMsPerAnaphorAndChar.p75,resolution.durationMsPerAnaphorAndChar.p95,realization.durationMsPerAnaphorAndChar.p95,resolution.durationMsPerAnaphorAndChar.p05,realization.durationMsPerAnaphorAndChar.p999,resolution.durationMsPerAnaphorAndChar.max,realization.durationMsPerAnaphorAndChar.p05,realization.durationMsPerAnaphorAndChar.p10,realization.durationMsPerAnaphorAndChar.avg,resolution.durationMsPerAnaphorAndChar.p01,resolution.durationMsPerAnaphorAndChar.avg,realization.durationMsPerAnaphorAndChar.p90,realization.durationMsPerAnaphorAndChar.p01,realization.durationMsPerAnaphorAndChar.max,resolution.durationMsPerAnaphorAndChar.p90,resolution.durationMsPerAnaphorAndChar.min,language.unknown.count,realization.durationMsPerAnaphorAndChar.min,perspectivation.numberOfCharactersReduced.relative.sum,resolution.count,perspectivation.numberOfCharactersReduced.absolute.sum,resolution.numberOfRealizations,realization.count,perspectivation.numberOfCharactersReduced.absolute.p50,resolution.durationMs.sum,perspectivation.numberOfCharactersReduced.relative.p50,language,perspectivation.numberOfCharactersReduced.absolute.p99,perspectivation.numberOfCharactersReduced.absolute.p05,perspectivation.numberOfCharactersReduced.relative.p25,perspectivation.numberOfCharactersReduced.absolute.p25,perspectivation.numberOfCharactersReduced.relative.p05,perspectivation.numberOfCharactersReduced.absolute.count,pluginVersion,service.name,resolution.durationMs.avg,http.route,name,trace.parent_id,service_name,duration_ms"
slowest child spans of post_order_list,"dc_is_root_span,is_ipo_access_order,parent_name,pending_orders.count,trace.parent_id,dc_ensure_nonroot_server_span,trace.span_id,duration_ms,span.kind,duration_per_rowcount,dc_log10_duration,span.num_links,from_load_test,order_uuid,pending_components.count,span.num_events,log10_duration_ms,ip,meta.stressed,success_rate_v3,service_dc_4,ref_id,service_dc_2,account.is_option_account,service_dc_5,service_dc_3,result_exists,service_dc_1,exception.stacktrace,success_rate_demo,jaeger-debug-id,components.count,positions.count,topic,db.instance,chain_id,error,opencensus.exporterversion,meta.refinery.original_sample_rate,db.rowcount,name,trace.trace_id,status_code,dc_simple_refinery_reason,meta.signal_type,dc_error_as_a_numeric,account.day_trades_restricted,meta.annotation_type,db.type,meta.refinery.sample_key,db.statement,http.route,service.name,http.status_code"
slow requests,"request,response_processing_time,request_processing_time,client,target,target_processing_time,sent_bytes,received_bytes,redirect_url,ssl_protocol,error_reason,target_list,env,trace_id,ssl_cipher,user_agent,type,domain_name,request_creation_time,elb,aws.s3.object,matched_rule_priority,target_status_code,aws.s3.bucket,actions_executed,target_status_code_list,elb_status_code,target_group_arn,chosen_cert_arn,trace.parent_id,http.route,name"
do I have increased errors,"User Errors,error,error-rate,echo.error,error.name,error.message,invoices.charge-processing.error,checkout.error,payment-processing-ise-error,payments-gateway-ise-error,error.reason,gin.errors,oauth2.error,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_EPS_payment_sli_healthy,error.stack,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Paypal_payment_sli_healthy,%5Blive%5D%5BGlobalBank%2FCardEU%5D_Card_Transaction_History_Errors_sli_healthy,retries,http.read_error,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_QR_Code_Pix_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_P24_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Pix_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Ideal_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Mybank_payment_sli_healthy,sumup.hardware.terminal.error_details,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Satispay_payment_sli_healthy,Reader_Payment_Errors_sli_healthy,http.write_error,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Giropay_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_GOOGLE_PAY_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-GW-APPLE%5D_High_error_rate_in_creating_payment_SLO_sli_healthy,exception.message,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Sofort_payment_sli_healthy,solo-edge-login-error-rate,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Blik_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_APPLE_PAY_payment_sli_healthy,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Boleto_payment_sli_healthy,AddressCheck,duplicate,os_global_api_error_rate,%5BONLINE-PAYMENTS%5D%5BOP-PAYMENTS%5D_High_error_rate_in_creating_Bancontact_payment_sli_healthy,ebru-evgeni-test-2,ukin-code-percentage-not-matched,ebru-test-2,db.queries,warning,receipt.included,[live]country_backoffice_too_many_http_error_response,query,ebru-fraud-reports-test,duration_ms,http.status_code,service.name,trace.parent_id,request_time,message,kind,db.statement,namespace,reason,name,request_path,status,parent_name,http.route"
show grafana.db.state without spikes,"grafana.db.state,otelcol_processor_dropped_metric_points,otelcol_exporter_sent_metric_points,scrape_duration,otelcol_exporter_enqueue_failed_metric_points,otelcol_receiver_refused_metric_points,scrape_series_added,otelcol_exporter_send_failed_metric_points,state,otelcol_process_uptime,scrape_samples_post_metric_relabeling,otelcol_process_memory_rss,otelcol_processor_refused_metric_points,scrape_samples_scraped,otelcol_processor_batch_batch_send_size.avg,otelcol_process_cpu_seconds,otelcol_exporter_enqueue_failed_spans,otelcol_process_runtime_total_alloc_bytes,hw.status,otelcol_process_runtime_heap_alloc_bytes,otelcol_exporter_enqueue_failed_log_records,metricshub.agent.info,host.name,host.id,otelcol_process_runtime_total_sys_memory_bytes,otelcol_receiver_accepted_metric_points,info,up,agent.host.name,metricshub.host.configured,description,connector_id,hw.cpu.speed,sensor_location,os.type,serial_number,otelcol_processor_batch_batch_send_size.p001,otelcol_processor_batch_batch_send_size.p05,host.type,name,otelcol_processor_accepted_metric_points,hw.cpu.speed.limit,otelcol_processor_batch_batch_send_size.min,queueSize,otelcol_processor_batch_timeout_trigger_send,net.host.port,otelcol_processor_batch_batch_send_size.p50,hw.memory.limit,otelcol_processor_batch_batch_send_size.count,hw.temperature.limit,duration_ms,http.route,trace.parent_id,service_name"
group by hour,"rule_groups,timezone,task_key_0,task_key_1,duration,region,rule_sync_groups_ms,cluster,clickfarm_like_time,job_id,rule,rule_sync_group_rules_ms,fingerprint_time_zone_anomaly,latitude,hl,score,host,longitude,event_data,rule_group_good_reasons,fingerprint_week,fingerprint_time_series,window-hash,plan,table,task_list_ms,task_pass_rate_1,rule_duration_ms,rule_group_bad_reasons,task_pass_rate_0,db.query.table,prop-timezone,token_rate_60m,sampled,task_builder,ra_sampled,art_shard,iou_1,rq_utm_campaign,client_timestamp,gpu_class,fingerprint_time_zone,umetric,local_jobs_hits,token_rate_60m_tarpit,token_rate_60m_email,task_gt-enforceable,duration_ms,rule_block,error,name,db.statement,exception.message,sk,s3_upload_uri,trace.parent_id,shard_id,base_url,getcaptcha-host,parent_name,request.path,art_ms,score_reason,app.exception_string,response.status_code,service_name"
request.path = /bucketapi/mdl-prod-objectstore/metadata,"request.path,request.method,request.url,request.query,request.scheme,request.content_length,meta.type,request.host,request.xhr,request.secure,response.content_length,meta.local_hostname,response.content_type,Application Path,request.remote_addr,request.user_agent,response.status_code,user_attributes,cache_key,request_user,meta.beeline_version,token,user_id,headers,name,service_name,new_role,username,django.view_func,trace.span_id,roles,user,user_status,status,trace.trace_id,duration_ms,trace.parent_id,type,http.route"
iris proxy timeout,"policy_timeout,idle_ns,host_data,host_info,error,target,host_id,rpc_nats_url,invocation_id,aliases,annotations,prov_rpc_nats_url,rt,busy_ns,provider_ref,duration_ms,ctl_nats_url,actor_ref,binding,registry_config,id,host_key,namespace_ptr,context,binding_ptr,namespace,topic_prefix,pubkey,links,source,action,code.namespace,trace.trace_id,path,bucket,thread.id,origin,name,link_name,operation_ptr,payload_ptr,trace.span_id,cluster_key,operation,service.name,nats,type,self,data,remaining,trace.parent_id,status_code,http.route"
http.route,"http.route,http.url,http.method,http.host,express.type,http.target,http.scheme,express.name,net.transport,service.version,service.name,net.host.ip,http.flavor,net.host.port,http.status_code,span.kind,name,net.host.name,status_code,http.status_text,sli_http_success,type,trace.trace_id,library.name,net.peer.port,http.user_agent,duration_ms,meta.refinery.reason,library.version,net.peer.ip,trace.span_id,trace.parent_id,span.num_links,meta.signal_type,dc_protocols,telemetry.sdk.language,dc_commx_endpoints,dc_apdex,meta.refinery.send_reason,telemetry.instrumentation_library,sli_latency,span.num_events,dc_latency,telemetry.sdk.name,dc_db_system_or_type,telemetry.sdk.version,meta.refinery.original_sample_rate,thread.dc_pool,dc_ensure_p8p_service,dc_ensure_nonroot_server_span"
count window-hash where window-hash exists per hour,"window-hash,window_hash_get,prop-window_hash,fingerprint_window_stack_traces_hash,prop-window_hash_get,fingerprint_window_overloaded_hash,fingerprint_window_document_keys_hash,fingerprint_window_keys_hash,fingerprint_window_client_tools_hash,fingerprint_window_messages_hash,headers-hash,fingerprint_time_zone_anomaly_hash,best_hash_get,w_count,legacy-hash,fingerprint_window_stack_traces,fingerprint_time_zone_hash,siteverify_nojs-hdict_count,fingerprint_time_zone_region_hash,fingerprint_window_missing_features_hash,fingerprint_timing_hash,fetch-hash,client_timestamp_check,canvas-hash,fingerprint_unique_keys_stable_hash_hash,fingerprint_window_document_keys,fingerprint_window_keys,task_request_count,fingerprint_web_worker_stack_size_hash,fingerprint_window_overloaded,fingerprint_window_version,fingerprint_time_zone_anomaly,token_rate_1m_tarpit,r_count,art_up__asn_window,fingerprint_unique_keys_stable_hash,sk_wgl_canv_hash,fingerprint_dom_rect_decimal_hash,fingerprint_window_messages,webrtc-hash,legacy_hash_get,fingerprint_window_sus_chrome_key,md_hash,webgl_hash_get,fingerprint_unique_keys_hash,checkcaptcha-elapsed-diff,fingerprint_analytics_hash,fingerprint_label_performance_start_bucket,art__asn_window,fingerprint_unique_keys_meta_hash_hash,getcaptcha-host,parent_name,exception.message,service_name,base_url,app.exception_string,request.path,response.status_code,duration_ms,db.statement,score_reason,sk,s3_upload_uri,trace.parent_id,name,art_ms,shard_id"
slow requests,"duration_ms,deprecatedSource,error,severity,flags,rpc.method,deprecatedCount,ip,rpc.service,interface,metadata,reason,container.cpu.time,deprecatedLastTimestamp,name,regarding,namespace,message.type,watch-type,severity_text,apiVersion,kind,service.name,rpc.system,container.uptime,type,uid,span.kind,db.name,note,body,resourceVersion,library.version,db.statement,status_code,event.domain,managedFields,deprecatedFirstTimestamp,container.memory.page_faults,event.name,container.memory.available,k8s.container.cpu_request,container.id,library.name,container.memory.rss,message.uncompressed_size,rpc.grpc.status_code,net.peer.port,container.memory.working_set,k8s.container.memory_request,http.route,service_name,,trace.parent_id"
error,"error,exception.message,type,name,exception.type,exception.stacktrace,status_code,host.arch,os.type,span.kind,net.transport,library.name,db.name,host.name,db.operation,service.name,db.system,thread.id,thread.name,duration_ms,os.description,library.version,parent_name,process.pid,db.statement,process.command_line,http.scheme,telemetry.sdk.language,db.sql.table,trace.parent_id,trace.span_id,honeycomb.distro.variant,trace.trace_id,http.status_code,http.response_content_length,net.peer.name,db.connection_string,telemetry.instrumentation_library,net.peer.port,process.runtime.description,span.num_events,meta.annotation_type,span.num_links,net.protocol.name,process.runtime.version,net.protocol.version,telemetry.auto.version,net.sock.peer.name,process.executable.path,process.runtime.name,http.route"
slow requests,"duration_ms,http.method,error,http.target,Approve Review Task Latency SLI,Everest Request Success  SLI,http.route,topic,name,Everest Overall Latency SLI,http.host,Create Workflow Ticket Latency SLI,service.name,db.system,db.user,http.scheme,type,http.flavor,span.kind,db.name,exception.stacktrace,library.version,db.statement,status_code,net.host.port,exception.type,library.name,net.peer.port,http.status_code,meta.refinery.reason,status_message,http.user_agent,exception.message,exception.escaped,app.client_id,span.num_links,net.peer.name,parent_name,meta.refinery.original_sample_rate,trace.trace_id,trace.span_id,http.server_name,meta.refinery.dynsampler_key,net.peer.ip,meta.signal_type,span.num_events,telemetry.sdk.language,trace.parent_id,[PRODUCTION] get_ticket_detail Error SLI,meta.annotation_type"
what are my errors?,"AXE & Dependencies Availability SLI - ENG,db.statement,mutualfund_path,status,parent_name,trace.parent_id,name,http.route,http.status_code,service_name,exception.message,error,duration_ms"
Which callstack led to a specific http.url,"http.url,http.url.scs,skyapi.request.url,http.protocol,exception.stacktrace,x-original-url,exception_stack,http.url.environment_id,http.method,http.scheme,http.target,request-context,client.uri,http.host,http.route,tracestate,x-appgw-trace-id,StackTrace,PageFound,observability.http_instrumentation.library.name,idn.legcy.httpresponsetime_under1sec,BuiltHttpRequestMessage,trace.trace_id,request-id,x-originating-ip,idn.sctkn.httpresponsetime_under1sec,guid:x-request-id,traceparent,x-b3-traceid,x-forwarded-proto,x-requested-with,trace.span_id,x-b3-spanid,client-ip,caller,x-b3-parentspanid,x-forwarded-for,referer,RequestContext,sec-fetch-site,x-sigsci-request-id,caller_scopes,requestId,http.status_code,PageSlugs,skyapi.application.link,http.svcid,InvocationId,trace.parent_id,x-original-host,tim_usage_request_path,status,error,parent_name,duration_ms,name,db.statement,exception.message,versioned_service_name"
error,"error,exception.message,type,name,exception.type,exception.stacktrace,status_code,host.arch,os.type,span.kind,net.transport,library.name,db.name,host.name,db.operation,service.name,db.system,thread.id,thread.name,duration_ms,os.description,library.version,parent_name,process.pid,db.statement,process.command_line,http.scheme,telemetry.sdk.language,db.sql.table,trace.parent_id,trace.span_id,honeycomb.distro.variant,trace.trace_id,http.status_code,http.response_content_length,net.peer.name,db.connection_string,telemetry.instrumentation_library,net.peer.port,process.runtime.description,span.num_events,meta.annotation_type,span.num_links,net.protocol.name,process.runtime.version,net.protocol.version,telemetry.auto.version,net.sock.peer.name,process.executable.path,process.runtime.name,http.route"
Show me all 500 errors,"error,log.args,exception.message,exception.stacktrace,log.msg,log.level,status_code,duration_ms,log.message,exception.type,db.user,http.route,db.system,http.host,http.url,name,span.num_events,http.status_code,db.name,host.hostname,status_message,type,net.host.port,exception.escaped,service.name,db.statement,library.name,http.method,http.target,library.version,span.num_links,trace.trace_id,telemetry.sdk.language,http.flavor,parent_name,net.peer.port,trace.span_id,span.kind,telemetry.instrumentation_library,trace.parent_id,http.server_name,net.peer.name,db.redis.args_length,http.scheme,net.peer.ip,http.user_agent,telemetry.sdk.version,telemetry.sdk.name,user.cognito_user_id,db.redis.pipeline_length"
twitter,"flutter,tickets,cordova,platform,hour,controller,referer,host,action,time,twitter_integration_id,channel,worker,error,trigger,language,browser,weekday,feature,signature,scope,parallel,state,hook,extension,architecture,messenger_api,fields,success,bin,user_id,react_native,reason,status_message,release,name,conversation_count,background,ping_platform,sdk_platform,type,mobile_headerless,conversation_id,email_id,cluster,exception,path,resource,task_user,app_id,controller_action,trace.parent_id,app_stage,error.type,duration_ms,is_shared_service,is_error,transaction_type,parent_name,http.status_code,is_root,error.msg,exception.message,db.statement,schema_cache_path,service_name"
slow requests,"sampling.priority,duration_ms,http.url,http.method,error,service_dc_4,service_dc_1,success_rate_demo,ip,service_dc_2,service_dc_5,service_dc_3,key,success_rate_v3,meta.stressed,name,host.name,from_load_test,service.name,span.dangling,type,span.kind,exception.stacktrace,jaeger-debug-id,status_code,exception.type,value,duration_per_rowcount,log10_duration_ms,http.status_code,meta.refinery.reason,exception.val,span.num_links,grpc.status_code,parent_name,meta.refinery.original_sample_rate,dc_simple_refinery_reason,trace.trace_id,trace.span_id,dc_log10_duration,meta.signal_type,span.num_events,meta.refinery.sample_key,opencensus.exporterversion,sampler.type,sampler.param,meta.refinery.send_reason,http.auth_header.md5,trace.parent_id,meta.annotation_type,http.route"
